metric,raw_prompt_or_naive_schema,metta_mcp_schema,value_source
env_count,3,3,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
stable_resource_handles,0,6,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
answer_shape_tags,0,6,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
query_cue_sets,0,6,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
minimal_examples,0,6,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
failure_mode_sets,0,6,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
validation_path_or_validator_note_resources,0,2,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
source_replay_links,0,6,data/trm_mcp_primehub_schema_example/primehub_schema_surface.json
